text,label_str,pred_str,confidence
`` The combined activities will create value for shareholders and be good for our employees and customers .,positive,neutral,0.9858782024247048
"Previously , EB delivered a custom solution for LG Electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators .",positive,neutral,0.9803215459297798
"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",negative,neutral,0.9748642612020204
Our standardised services have met with a positive reception among our customers as well as at Itella .,positive,neutral,0.9212902267561074
"However , the broker gave an `` outperform '' recommendation on the stock .",positive,neutral,0.9108712986523436
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,neutral,0.9030023938157848
The situation of coated magazine printing paper will continue to be weak .,negative,neutral,0.8845522657554085
"In Finland , the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008 .",negative,neutral,0.87740746026166
"Thanks to the multiplying effect of wagon performance , transport will be much more efficient , '' says development manager Juha Malkia from VR Cargo .",positive,neutral,0.870552069172628
Technical indicators for the stock are bullish and S&P gives NOK a positive 4 STARS out of 5 buy ranking .,positive,neutral,0.8668954369216418
