text,true_label,pred_label,confidence
"Previously , EB delivered a custom solution for LG Electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators .",positive,neutral,0.9922821969696968
`` The combined activities will create value for shareholders and be good for our employees and customers .,positive,neutral,0.9810195707070708
"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",negative,neutral,0.9686876015354964
Combining this deep domain expertise with our Application Service Management ASM and outsourcing service offerings has now proved to be a winning combination .,positive,neutral,0.9586592161401044
"Thanks to the multiplying effect of wagon performance , transport will be much more efficient , '' says development manager Juha Malkia from VR Cargo .",positive,neutral,0.9408164088255772
The situation of coated magazine printing paper will continue to be weak .,negative,neutral,0.9263939797611408
Our standardised services have met with a positive reception among our customers as well as at Itella .,positive,neutral,0.9152046919059588
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,neutral,0.8600935011268852
With this appointment Kaupthing Bank aims to further co-ordinate Capital Markets activities within the Group and to improve the overall service to clients .,positive,neutral,0.8595768987319673
Unit costs for flight operations fell by 6.4 percent .,positive,negative,0.8281423687248829
