text,true_label,pred_label,confidence
"Finnish energy company Fortum Oyj said on November 13 , 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm .",positive,neutral,0.95
With this appointment Kaupthing Bank aims to further co-ordinate Capital Markets activities within the Group and to improve the overall service to clients .,positive,neutral,0.9
"Finnish flexible packaging manufacturer Suominen Corporation reports net sales of EUR 54.5 mn in the first quarter of 2008 , compared with EUR 54.3 mn a year earlier .",positive,neutral,0.9
The order was valued at over EUR15m .,neutral,positive,0.9
"The Australian company Mirabela Nickel has awarded Outokumpu Technology a contract for grinding technology for its nickel sulfide project in Bahia State , Brazil .",positive,neutral,0.9
`` Directors and shareholders alike should ask why these practices were allowed to continue . '',neutral,negative,0.9
A huge issue for us is the button placement .,neutral,negative,0.85
Stora Enso will receive a 19.9 pct equity interest in the combined company .,neutral,positive,0.85
"Prothious Engineering ( www.prothious.com ) employs more than 1,000 and has a large portfolio of projects and an annual detailing capacity of more than 100,000 tonnes .",neutral,positive,0.85
"- The Group -¦ s cumulative sales during the review period were EUR 48.2 million EUR 53.1 million , 1-9/2007 and profit before taxes was EUR 1.2 1.4 million .",neutral,negative,0.85
